id;guessed_word;first_letter;lenght;forbiden_letters;discovered_letters
1;Peso;array navigate Executive;79890;Incredible reboot Virginia;Rand
2;deposit Paradigm;Mouse;26504;protocol Multi-channelled;payment
3;Operative Loan;Fantastic sticky navigate;95050;Loan invoice;Avon Kip functionalities
4;intranet Borders leading-edge;Account Tuna system-worthy;20709;systems array;Re-contextualized
5;Loan;quantifying;86092;Pataca Idaho Ergonomic;Interface
6;Sleek Card Georgia;bricks-and-clicks magnetic;38496;Engineer;firewall Integrated
7;overriding index middleware;quantify hacking Director;89461;card Ohio;Chips deposit Metal
8;Cambridgeshire Administrator;Dominica;38954;Berkshire Versatile;Technician invoice
9;Buckinghamshire drive Path;Tuna;96619;copy indexing;open Granite Soap
10;Macao auxiliary Security;SDD;29033;Clothing attitude-oriented;Shoes
